frame,keL_a,keR_a,keL_b,keR_b
282,1.436521789e-3,2.498289461e-8,1.084506213e-2,0.000000000e0
283,1.404356497e-3,2.394890121e-8,1.118265491e-2,0.000000000e0
284,1.381492438e-3,2.906140012e-8,1.152821327e-2,0.000000000e0
285,1.377020447e-3,3.449763114e-8,1.188185985e-2,0.000000000e0
286,1.368252748e-3,4.527292855e-8,1.224372260e-2,0.000000000e0
287,1.319202690e-3,5.714941794e-8,1.261392615e-2,0.000000000e0
288,1.312879025e-3,6.883201542e-8,1.299259800e-2,0.000000000e0
289,1.319895148e-3,7.432971391e-8,1.337986859e-2,0.000000000e0
290,1.316503552e-3,5.343164423e-8,1.377586547e-2,0.000000000e0
291,1.312896941e-3,6.726799630e-8,1.404477680e-2,0.000000000e0
292,1.309361755e-3,7.020338238e-8,1.431766195e-2,0.000000000e0
293,1.295313198e-3,6.576089373e-8,1.459456246e-2,0.000000000e0
294,1.284012628e-3,6.047292928e-8,1.487551546e-2,0.000000000e0
295,1.278622340e-3,5.700225766e-8,1.516056167e-2,0.000000000e0
296,1.268102944e-3,5.300821988e-8,1.544974028e-2,0.000000000e0
297,1.266051317e-3,4.955990162e-8,1.574309125e-2,0.000000000e0
298,1.262317019e-3,4.128895596e-8,1.604065367e-2,0.000000000e0
299,1.260183151e-3,3.097605820e-8,1.634246808e-2,0.000000000e0
300,1.257791807e-3,2.100886133e-8,1.664857498e-2,0.000000000e0
301,1.255518482e-3,2.371968500e-8,1.695901498e-2,0.000000000e0
302,1.253599683e-3,2.912402249e-8,1.727382796e-2,0.000000000e0
303,1.247680298e-3,2.823970402e-8,1.759305583e-2,0.000000000e0
304,1.245598779e-3,2.766331032e-8,1.791673744e-2,0.000000000e0
305,1.244067743e-3,2.698199029e-8,1.824491665e-2,0.000000000e0
306,1.242441078e-3,1.834865471e-8,1.857763295e-2,0.000000000e0
307,1.240903946e-3,1.618710549e-8,1.891492875e-2,0.000000000e0
308,1.238783743e-3,8.690352081e-9,1.925684479e-2,0.000000000e0
309,1.237360891e-3,4.723440102e-9,1.960342409e-2,0.000000000e0
310,1.236464239e-3,5.311277620e-9,1.995470882e-2,0.000000000e0
311,1.235544834e-3,6.333181496e-9,2.031074115e-2,0.000000000e0
312,1.234885941e-3,6.689741314e-9,2.067156268e-2,0.000000000e0
313,1.233599786e-3,6.147928601e-9,2.103721789e-2,0.000000000e0
314,1.233162202e-3,4.629984985e-9,2.140774663e-2,0.000000000e0
315,1.233073192e-3,3.932251819e-9,2.178319469e-2,0.000000000e0
316,1.233366740e-3,4.040020957e-9,2.216360314e-2,0.000000000e0
317,1.233767823e-3,2.968509648e-9,2.254901669e-2,0.000000000e0
318,1.234204308e-3,3.087168384e-9,2.293947723e-2,0.000000000e0
319,1.230974552e-3,2.152770574e-9,2.333503078e-2,0.000000000e0
320,1.233171965e-3,1.089309235e-9,2.373571935e-2,0.000000000e0
321,1.233622207e-3,4.138780004e-10,2.414158881e-2,0.000000000e0
322,1.228813001e-3,3.458162381e-10,2.455268232e-2,0.000000000e0
323,1.224778805e-3,4.469002587e-10,2.496904478e-2,0.000000000e0
324,1.226173296e-3,1.908967033e-10,2.539072044e-2,0.000000000e0
325,1.227692226e-3,1.924643560e-10,2.581775487e-2,0.000000000e0
326,1.229432985e-3,1.024320171e-10,2.625019164e-2,0.000000000e0
327,1.231219620e-3,9.804608241e-11,2.668807728e-2,0.000000000e0
328,1.233346578e-3,6.277735068e-11,2.713145564e-2,0.000000000e0
329,1.234026077e-3,6.082690983e-11,2.758037512e-2,0.000000000e0
330,1.236911148e-3,4.672519062e-11,2.803487885e-2,0.000000000e0
331,1.239358271e-3,4.264963486e-11,2.849501618e-2,0.000000000e0
332,1.240759099e-3,4.337313212e-11,2.896083330e-2,0.000000000e0
333,1.244057468e-3,4.021670210e-11,2.943237612e-2,0.000000000e0
334,1.247202000e-3,4.028792227e-11,2.990969040e-2,0.000000000e0
335,1.250053597e-3,4.002323727e-11,3.039282255e-2,0.000000000e0
336,1.214620666e-3,4.002323727e-11,3.088181836e-2,0.000000000e0
337,1.171309625e-3,4.002323727e-11,3.112853016e-2,0.000000000e0
338,1.172238083e-3,4.002323727e-11,3.137672630e-2,0.000000000e0
339,1.175273301e-3,4.002323727e-11,3.162641137e-2,0.000000000e0
340,1.178483487e-3,4.002323727e-11,3.187759276e-2,0.000000000e0
341,1.181407910e-3,4.002323727e-11,3.213027540e-2,0.000000000e0
342,1.184968226e-3,4.002323727e-11,3.238446600e-2,0.000000000e0
343,1.189464656e-3,4.002323727e-11,3.264016931e-2,0.000000000e0
344,1.192872806e-3,4.002323727e-11,3.289739250e-2,0.000000000e0
345,1.196684238e-3,4.002323727e-11,3.315614052e-2,0.000000000e0
346,1.201531279e-3,4.002323727e-11,3.341641988e-2,0.000000000e0
347,1.206825760e-3,4.002323727e-11,3.367823546e-2,0.000000000e0
348,1.201446698e-3,4.002323727e-11,3.394159462e-2,0.000000000e0
349,1.203114209e-3,4.002323727e-11,3.420650226e-2,0.000000000e0
350,1.200478679e-3,4.002323727e-11,3.447296501e-2,0.000000000e0
351,1.198572120e-3,4.002323727e-11,3.474098794e-2,0.000000000e0
352,1.199324304e-3,4.002323727e-11,3.501057821e-2,0.000000000e0
353,1.203785794e-3,4.002323727e-11,3.528174115e-2,0.000000000e0
354,1.207272693e-3,4.002323727e-11,3.555448340e-2,0.000000000e0
355,1.212323398e-3,4.002323727e-11,3.582880974e-2,0.000000000e0
356,1.209383205e-3,4.002323727e-11,3.610472794e-2,0.000000000e0
357,1.206556833e-3,4.002323727e-11,3.638224348e-2,0.000000000e0
358,1.213819189e-3,4.002323727e-11,3.666136315e-2,0.000000000e0
359,1.221052968e-3,4.002323727e-11,3.694209214e-2,0.000000000e0
360,1.226540240e-3,4.002323727e-11,3.722443775e-2,0.000000000e0
361,1.228179003e-3,4.002323727e-11,3.750840539e-2,0.000000000e0
362,1.237183608e-3,4.002323727e-11,3.779400190e-2,0.000000000e0
363,1.241649070e-3,4.002323727e-11,3.808123249e-2,0.000000000e0
364,1.250532258e-3,4.002323727e-11,3.837010462e-2,0.000000000e0
365,1.258811887e-3,4.002323727e-11,3.866062334e-2,0.000000000e0
366,1.264654229e-3,4.002323727e-11,3.895279508e-2,0.000000000e0
367,1.270217816e-3,4.002323727e-11,3.924662504e-2,0.000000000e0
368,1.278586973e-3,4.002323727e-11,3.954212067e-2,0.000000000e0
