frame,div_px,div_pos,div_pos_l,div_pos_r
449,2.723909575e-3,1.740146898e2,5.819011382e1,1.158245760e2
450,2.720604235e-3,1.740759289e2,5.825135276e1,1.158245761e2
451,2.729239256e-3,1.741374761e2,5.831289982e1,1.158245762e2
452,2.715460997e-3,1.741993314e2,5.837475501e1,1.158245763e2
453,2.718077959e-3,1.742614945e2,5.843691807e1,1.158245765e2
454,2.733228073e-3,1.743239656e2,5.849938899e1,1.158245766e2
455,2.732489383e-3,1.743867451e2,5.856216842e1,1.158245767e2
456,2.710223802e-3,1.744498349e2,5.862525812e1,1.158245768e2
457,2.708265158e-3,1.745132373e2,5.868866042e1,1.158245769e2
458,2.712595163e-3,1.745769561e2,5.875237902e1,1.158245770e2
459,2.714553862e-3,1.746409895e2,5.881641233e1,1.158245772e2
460,2.717583056e-3,1.747053316e2,5.888075428e1,1.158245773e2
461,2.703047484e-3,1.747699893e2,5.894541193e1,1.158245774e2
462,2.727002700e-3,1.748349685e2,5.901039097e1,1.158245775e2
463,2.713393932e-3,1.749002641e2,5.907568650e1,1.158245776e2
464,2.711313185e-3,1.749658720e2,5.914129424e1,1.158245777e2
465,2.707944544e-3,1.750317982e2,5.920722034e1,1.158245779e2
466,2.702841435e-3,1.750980404e2,5.927346238e1,1.158245780e2
467,2.679930048e-3,1.751646056e2,5.934002747e1,1.158245781e2
468,2.664582495e-3,1.752314960e2,5.940691779e1,1.158245782e2
469,2.656196585e-3,1.752987095e2,5.947413112e1,1.158245783e2
470,2.661438912e-3,1.753662488e2,5.954167037e1,1.158245785e2
471,2.654753533e-3,1.754341207e2,5.960954207e1,1.158245786e2
472,2.660012361e-3,1.755023210e2,5.967774230e1,1.158245787e2
473,2.637248683e-3,1.755708527e2,5.974627384e1,1.158245788e2
474,2.655901057e-3,1.756397138e2,5.981513484e1,1.158245790e2
475,2.639697021e-3,1.757088995e2,5.988432046e1,1.158245791e2
476,2.634217020e-3,1.757784160e2,5.995383677e1,1.158245792e2
477,2.631491687e-3,1.758482642e2,6.002368492e1,1.158245793e2
478,2.612334271e-3,1.759184441e2,6.009386466e1,1.158245794e2
479,2.622705223e-3,1.759889600e2,6.016438039e1,1.158245796e2
480,2.629384844e-3,1.760598111e2,6.023523139e1,1.158245797e2
481,2.630586314e-3,1.761309958e2,6.030641599e1,1.158245798e2
482,2.636785986e-3,1.762025154e2,6.037793546e1,1.158245799e2
483,2.646491228e-3,1.762743679e2,6.044978777e1,1.158245801e2
484,2.656477110e-3,1.763465543e2,6.052197411e1,1.158245802e2
485,2.656818346e-3,1.764190724e2,6.059449212e1,1.158245803e2
